catid,lat,lng,Description,Name,PHOTOURL,Opening_Hours
TouristAttraction,103.84763,1.28094,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","Thian Hock Keng Temple, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg,updating
TouristAttraction,103.89942,1.31007,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,Eurasian Heritage Centre: Singapore Attraction,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg,updating
TouristAttraction,103.8373356,1.2772186,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.",Shophouses,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg,updating
TouristAttraction,103.84142,1.27549,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,Pinnacle@Duxton,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg,updating
TouristAttraction,103.86285,1.30291,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.,Hajjah Fatimah Mosque,/content/dam/desktop/global/see-do-singapore/architecture/hajjah-fatimah-mosque-carousel01-rect.jpg,updating
TouristAttraction,103.78314,1.28551,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.,Haw Par Villa: Singapore Theme Park,UPDATING,updating
TouristAttraction,103.83731,1.27731,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",NUS Baba House - Singapore Peranakan Architecture,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/baba-house-carousel02-rect.jpg,updating
TouristAttraction,103.841222,1.29316,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.",Hong San See Temple Singapore,UPDATING,updating
TouristAttraction,103.85157,1.29354,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,Capitol Building Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg,updating
TouristAttraction,103.85528,1.28986,This boldly designed performing arts centre has become a memorable part of Singapore’s skyline.,Esplanade Theatre,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-esplanade-theatres-on-the-bay-carousel01-rect.jpg,updating
TouristAttraction,103.863613,1.281568,"The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes – marvels of architecture, design and engineering.",Gardens by the Bay,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/gardens-by-the-bay-carousel01-rect.jpg,updating
TouristAttraction,103.80305,1.28199,There’s more than meets the eye in The Interlace’s artful arrangement of residential blocks.,The Interlace,UPDATING,updating
TouristAttraction,103.846522,1.285563,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,PARKROYAL on Pickering,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/parkroyal-pickering-carousel01-rect.jpg,updating
TouristAttraction,103.8516,1.3029,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,Lasalle College of the Arts,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/503-lasalle-college-of-the-arts-carousel01-rect..jpg,updating
TouristAttraction,103.85128,1.2897,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.",Old Supreme Court Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/old-supreme-court-carousel01-rect.jpg,updating
TouristAttraction,103.8336,1.28351,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.,SIT Flats Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/sit-flat-carousel01-rect.jpg,updating
