catid,lat,lng,Description,Name,PHOTOURL,Opening_Hours,ADDRESSSTREETNAME
TouristAttraction,103.84763,1.28094,"Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","Thian Hock Keng Temple, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/thian-hock-kheng-temple-carousel01-rect.jpg,,158 Telok Ayer Street
TouristAttraction,103.89942,1.31007,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,Eurasian Heritage Centre: Singapore Attraction,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/eurasian-heritage-centre-carousel01-rect.jpg,,139 Ceylon Road
TouristAttraction,103.8373356,1.2772186,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.",Shophouses,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/shophouses-typology-carousel01-rect.jpg,,UPDATING
TouristAttraction,103.84142,1.27549,The soaring lines and stunning views of majestic residential estate Pinnacle at Duxton will make you forget your fear of heights. Almost.,Pinnacle@Duxton,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-pinnacle-duxton-carousel01-rect.jpg,,1 Cantonment Road
TouristAttraction,103.86285,1.30291,The Hajjah Fatimah Mosque will captivate you with its intriguing blend of cross-cultural architectural influences.,Hajjah Fatimah Mosque,/content/dam/desktop/global/see-do-singapore/architecture/hajjah-fatimah-mosque-carousel01-rect.jpg,,4001 Beach Road
TouristAttraction,103.78314,1.28551,Embark on an unforgettable journey into Chinese folklore and mythology at the Haw Par Villa theme park.,Haw Par Villa: Singapore Theme Park,UPDATING,,262 Pasir Panjang Road
TouristAttraction,103.83731,1.27731,"This heritage house lends rich insight into Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts.",NUS Baba House - Singapore Peranakan Architecture,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/baba-house-carousel02-rect.jpg,,157 Neil Road
TouristAttraction,103.841222,1.29316,"Restored by expert craftsmen from China, the Hong San See temple has been brought back to its full glory.",Hong San See Temple Singapore,UPDATING,,31 Mohamed Sultan Road
TouristAttraction,103.85157,1.29354,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,Capitol Building Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/capitol-building-carousel01-rect-norender.jpg,,11 Stamford Road
TouristAttraction,103.85528,1.28986,This boldly designed performing arts centre has become a memorable part of Singapore’s skyline.,Esplanade Theatre,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/the-esplanade-theatres-on-the-bay-carousel01-rect.jpg,,1 Esplanade Drive
TouristAttraction,103.863613,1.281568,"The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes – marvels of architecture, design and engineering.",Gardens by the Bay,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/gardens-by-the-bay-carousel01-rect.jpg,,18 Marina Gardens Drive
TouristAttraction,103.80305,1.28199,There’s more than meets the eye in The Interlace’s artful arrangement of residential blocks.,The Interlace,UPDATING,,180-226 Depot Road
TouristAttraction,103.846522,1.285563,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,PARKROYAL on Pickering,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/parkroyal-pickering-carousel01-rect.jpg,,3 Upper Pickering Street
TouristAttraction,103.8516,1.3029,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,Lasalle College of the Arts,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/503-lasalle-college-of-the-arts-carousel01-rect..jpg,,1 McNally Street
TouristAttraction,103.85128,1.2897,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.",Old Supreme Court Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/old-supreme-court-carousel01-rect.jpg,,1 St Andrew's Road
TouristAttraction,103.8336,1.28351,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.,SIT Flats Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/sit-flat-carousel01-rect.jpg,,Seng Poh Road and Tiong Bahru Road
TouristAttraction,103.85044,1.28072,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.",Lau Pa Sat Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lau-pa-sat-carousel01-rect.jpg,,18 Raffles Quay
TouristAttraction,103.85986,1.30309,The Malay Heritage Centre is a must-visit if you’re keen on learning about the rich heritage and culture of Singapore’s Malay community.,"Malay Heritage Centre, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/malay-heritage-centre-carousel01-rect.jpg,,85 Sultan Gate
TouristAttraction,103.8492,1.29421,"Get to know Singapore’s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.",Peranakan Museum Singapore: History & Culture,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/peranakan-museum-carousel01-rect.jpg,,39 Armenian Street
TouristAttraction,103.85404,1.29579,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.",Raffles Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/raffles-hotel-carousel03-rect.jpg,,1 Beach Road
TouristAttraction,103.80459,1.2784,A former British military camp is now Asia's new Destination for Contemporary Art.,Gillman Barracks – YourSingapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg,,9 Lock Road
TouristAttraction,103.84883,1.29689,Singapore’s oldest museum is a progressive showcase of the country’s history and culture.,National Museum of Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/national-museum-of-singapore-carousel01-rect.jpg,,93 Stamford Road
TouristAttraction,103.87584,1.36431,"Located in Hougang, this is the largest Japanese cemetery in Southeast Asia and the burial ground of Singapore’s early Japanese community.",The Japanese Cemetery Park,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/japanese-cemetery-park-carousel01-rect.jpg,,825B Chuan Hoe Avenue
TouristAttraction,103.85238,1.28704,Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.,"Dalhousie Obelisk, a Singapore Landmark",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/history/dalhousie-obelisk-carousel01-rect.jpg,,1 Empress Place
TouristAttraction,103.850845,1.287766,"The sculpture depicts Sir Stamford Raffles, founder of modern Singapore. Two statues exist, at the Raffles Landing Site and Empress Place.",Raffles Statue â€“ Sir Stamford Raffles Landing Site,UPDATING,,"Raffles Landing Site , 59 Boat Quay"
